"","sum","sd","subj","upper","lower"
"X148",-0.723152341337016,0.00257315616962151,148,-0.720579185167394,-0.725725497506637
"X149",-0.588634238509218,0.00317713352831852,149,-0.585457104980899,-0.591811372037536
"X150",-0.594325604263836,0.00556949521792089,150,-0.588756109045915,-0.599895099481757
"X151",-0.846072580905086,0.0119908216085439,151,-0.834081759296542,-0.858063402513629
"X152",-0.610489701120366,0.000896387903905426,152,-0.609593313216461,-0.611386089024272
"X153",-0.589330254382979,0.00372206419079996,153,-0.585608190192179,-0.593052318573779
"X154",-0.718994608091044,0.00372141420837237,154,-0.715273193882671,-0.722716022299416
"X155",-0.705247295016589,0.00123809923343578,155,-0.704009195783153,-0.706485394250025
"X156",-0.665229222606622,0.00307915240760879,156,-0.662150070199013,-0.668308375014231
"X157",-0.6968004675988,0.0028483548358808,157,-0.693952112762919,-0.69964882243468
"X158",-0.757804072920636,0.00352867546941548,158,-0.754275397451221,-0.761332748390052
"X159",-0.722387987532028,0.00372950001164928,159,-0.718658487520379,-0.726117487543677
"X160",-0.660371873415886,0.00101246325560607,160,-0.65935941016028,-0.661384336671493
"X161",-0.646018626357869,0.00129102453542441,161,-0.644727601822445,-0.647309650893294
"X162",-0.726439673453153,0.0023476051255522,162,-0.724092068327601,-0.728787278578705
"X163",-0.767040161685309,0.00480350523884219,163,-0.762236656446467,-0.771843666924152
"X164",-0.66160229087132,0.00135348043068242,164,-0.660248810440638,-0.662955771302002
"X165",-0.483925126756816,0.00960453490572978,165,-0.474320591851087,-0.493529661662546
"X166",-0.711366533366418,0.00426322452960198,166,-0.707103308836816,-0.71562975789602
"X167",-0.77696920398861,0.00498488266627459,167,-0.771984321322335,-0.781954086654884
"X168",-0.767531552692315,0.00369089518794703,168,-0.763840657504368,-0.771222447880262
"X169",-0.791172444576262,0.00544884827914069,169,-0.785723596297122,-0.796621292855403
"X170",-0.637040440663182,0.00159745588631655,170,-0.635442984776866,-0.638637896549499
"X171",-0.750238616915302,0.00381176432557819,171,-0.746426852589724,-0.75405038124088
"X172",-0.738459895682093,0.00237903264255266,172,-0.73608086303954,-0.740838928324645
"X173",-0.678297632690284,0.00173840828977209,173,-0.676559224400512,-0.680036040980057
