"","X","sum","sd","subj","upper","lower"
"155","X155",-0.874826833404475,0.0739549059118082,155,-0.800871927492666,-0.948781739316283
"156","X156",-0.205177079384155,0.0557131304058845,156,-0.149463948978271,-0.260890209790039
"157","X157",-0.629457179726454,0.0478675883057051,157,-0.581589591420749,-0.677324768032159
"158","X158",-0.0205470424637942,0.02807814277811,158,0.00753110031431577,-0.0486251852419042
"159","X159",-0.542451000456155,0.27760714251492,159,-0.264843857941234,-0.820058142971075
"160","X160",-0.735305338539039,0.0433136010434766,160,-0.691991737495562,-0.778618939582515
"161","X161",-0.662998231710748,0.0775392086921074,161,-0.585459023018641,-0.740537440402855
"162","X162",-0.584858445712526,0.0425470078083857,162,-0.54231143790414,-0.627405453520912
"163","X163",-0.459713784806723,0.0729597534668455,163,-0.386754031339877,-0.532673538273568
"164","X164",-0.18866917549911,0.0566393069570292,164,-0.132029868542081,-0.24530848245614
"165","X165",-0.770472886405718,0.141270225001491,165,-0.629202661404227,-0.911743111407209
"166","X166",-0.201448880758352,0.0366783745063705,166,-0.164770506251982,-0.238127255264723
"167","X167",-0.149055547538416,0.0442916337552875,167,-0.104763913783129,-0.193347181293704
"168","X168",-0.36012542561337,0.114882238446657,168,-0.245243187166713,-0.475007664060027
"169","X169",-0.819695759101218,0.102605117017898,169,-0.71709064208332,-0.922300876119116
"170","X170",-0.284318840287458,0.0995243937684098,170,-0.184794446519048,-0.383843234055868
"171","X171",-0.668389690475461,0.13581188638219,171,-0.532577804093271,-0.804201576857652
"172","X172",-0.160071336798858,0.171287896446742,172,0.0112165596478846,-0.3313592332456
"173","X173",-0.0536306202004066,0.0169363243768079,173,-0.0366942958235986,-0.0705669445772145
"174","X174",-0.612266828759972,0.157405670341621,174,-0.454861158418352,-0.769672499101593
"175","X175",-1.32208754066557,0.39438841883585,175,-0.927699121829719,-1.71647595950142
"176","X176",-0.464504225539309,0.0734565408847885,176,-0.39104768465452,-0.537960766424098
"177","X177",-0.528187381537648,0.0651743178527104,177,-0.463013063684938,-0.593361699390359
"178","X178",-0.548431061809246,0.145376238850888,178,-0.403054822958359,-0.693807300660134
"179","X179",-0.581945440191426,0.163500849589496,179,-0.41844459060193,-0.745446289780922
"180","X180",-0.724918171253372,0.257856938914347,180,-0.467061232339025,-0.982775110167718
"181","X181",-0.976180411983567,0.374648065040852,181,-0.601532346942715,-1.35082847702442
"182","X182",-0.353072027190579,0.0624085399896617,182,-0.290663487200917,-0.41548056718024
"183","X183",-0.294268196761216,0.125416121753733,183,-0.168852075007483,-0.419684318514949
"184","X184",-0.67905471756411,0.0576820980522453,184,-0.621372619511865,-0.736736815616356
"185","X185",-0.525115029762028,0.0851622646035646,185,-0.439952765158463,-0.610277294365592
"186","X186",-0.318192929326387,0.0416186491356111,186,-0.276574280190776,-0.359811578461998
"187","X187",-0.698237881943299,0.0862317994204014,187,-0.612006082522898,-0.784469681363701
"188","X188",-0.425382013918328,0.288643266567895,188,-0.136738747350434,-0.714025280486223
"189","X189",-0.303757311952773,0.0664255146145545,189,-0.237331797338219,-0.370182826567328
"190","X190",-0.434699925268161,0.0469042343260293,190,-0.387795690942131,-0.48160415959419
"191","X191",-0.0294266322405499,0.0274714400331519,191,-0.00195519220739802,-0.0568980722737018
"192","X192",-0.269117099821652,0.160378628795391,192,-0.108738471026261,-0.429495728617042
"193","X193",-0.493528710710316,0.0288422167632337,193,-0.464686493947082,-0.52237092747355
"194","X194",-0.576064072446334,0.0707062638003365,194,-0.505357808645998,-0.646770336246671
"195","X195",-0.709091622691246,0.246230561282494,195,-0.462861061408752,-0.95532218397374
"196","X196",-0.699218923160294,0.62325417227751,196,-0.0759647508827834,-1.3224730954378
"197","X197",-0.702284966554496,0.135645456967755,197,-0.566639509586741,-0.837930423522251
"198","X198",-0.696575656571457,0.132600746357601,198,-0.563974910213857,-0.829176402929058
"199","X199",-0.153372229266253,0.0339278591531469,199,-0.119444370113106,-0.1873000884194
"200","X200",-0.739228311201307,0.0544403407786793,200,-0.684787970422628,-0.793668651979986
"201","X201",-0.684121283455032,0.0615657660365028,201,-0.62255551741853,-0.745687049491535
"202","X202",-0.350001152248719,0.292280743774692,202,-0.0577204084740277,-0.642281896023411
"203","X203",-0.619284178843605,0.0270104774492614,203,-0.592273701394343,-0.646294656292866
"204","X204",-0.396072219108156,0.0823094375822697,204,-0.313762781525887,-0.478381656690426
"205","X205",-0.927178094106873,0.11639483593035,205,-0.810783258176524,-1.04357293003722
