"","sum","sd","subj","upper","lower"
"X94",-0.79809339469326,0.111623945540503,94,-0.686469449152757,-0.909717340233763
"X95",-1.00086062118947,0.388153454968895,95,-0.612707166220574,-1.38901407615836
"X96",-0.545470983086715,0.0684539535819162,96,-0.477017029504799,-0.613924936668631
"X97",-0.415897165601164,0.148223739873291,97,-0.267673425727873,-0.564120905474454
"X98",-0.12367633538766,0.0727291458992543,98,-0.0509471894884055,-0.196405481286914
"X99",-0.679030956883976,0.0444562387712651,99,-0.63457471811271,-0.723487195655241
"X100",-0.36664484093808,0.0826373890082854,100,-0.284007451929794,-0.449282229946365
"X101",-0.70845498370719,0.0342677181662458,101,-0.674187265540944,-0.742722701873436
"X102",-0.568325025185498,0.0926392897356226,102,-0.475685735449875,-0.66096431492112
"X103",-0.069806634655664,0.0192533209817102,103,-0.0505533136739538,-0.0890599556373742
"X104",-0.696269961814034,0.0211078900252481,104,-0.675162071788786,-0.717377851839282
"X105",-0.558435454785159,0.0483941961496192,105,-0.51004125863554,-0.606829650934778
"X106",-0.798774809428025,0.189030545037669,106,-0.609744264390357,-0.987805354465694
"X107",-0.136721116212498,0.0579688246728113,107,-0.0787522915396869,-0.194689940885309
"X108",-0.0992081777956126,0.0437952702557542,108,-0.0554129075398584,-0.143003448051367
"X109",-0.468363507799934,0.296486808426829,109,-0.171876699373105,-0.764850316226764
"X110",-0.527784888804166,0.0919984932704764,110,-0.43578639553369,-0.619783382074643
"X111",-0.694449999527855,0.0290753904853253,111,-0.66537460904253,-0.72352539001318
"X112",-0.63709449357386,0.0577740698590406,112,-0.57932042371482,-0.694868563432901
"X113",-0.734536185779089,0.0639494894524718,113,-0.670586696326617,-0.798485675231561
"X114",-0.2849238121435,0.154039669143181,114,-0.130884143000319,-0.438963481286681
"X115",-0.608825128097601,0.301548275993527,115,-0.307276852104074,-0.910373404091128
"X116",-0.769395573128791,0.113258026103594,116,-0.656137547025197,-0.882653599232385
"X117",-0.718630804182378,0.0615251731508691,117,-0.657105631031509,-0.780155977333247
"X118",-0.711962426683579,0.141974585386933,118,-0.569987841296646,-0.853937012070512
"X119",-0.778656187024891,0.0478666196770988,119,-0.730789567347792,-0.82652280670199
"X120",-0.0696893228834025,0.0658092629781427,120,-0.00388005990525987,-0.135498585861545
"X121",-0.93171005499108,0.18213365345057,121,-0.74957640154051,-1.11384370844165
"X122",-0.075408959849966,0.0469063297922111,122,-0.0285026300577549,-0.122315289642177
"X123",-0.777149644206295,0.111590496988651,123,-0.665559147217644,-0.888740141194945
"X124",-0.747545283568936,0.117882318621655,124,-0.62966296494728,-0.865427602190591
"X125",-0.785322459113833,0.118691095706613,125,-0.666631363407221,-0.904013554820446
"X126",-0.750951740524984,0.127064383137431,126,-0.623887357387553,-0.878016123662415
"X127",-0.686782392523032,0.0417064171631278,127,-0.645075975359904,-0.728488809686159
